AFFGEOID,DNAME11
1500000US511076105052, 53
1500000US511076117003, 52
1500000US518100460061, 38
1500000US517402114002, 32
1500000US517402117001, 32
1500000US517402118003, 32
1500000US517402121002, 32
1500000US517402126002, 33
1500000US517100057022, 24
1500000US517100061001, 34
1500000US517100066021, 24
1500000US517100066063, 24
1500000US518109901000, 9
1500000US518100402003, 43
1500000US517100029004, 34
1500000US517100034001, 34
1500000US517100040011, 32
1500000US517100043002, 41
1500000US517100044001, 41
1500000US517100051002, 41
1500000US517100055002, 24
1500000US515500210062, 40
1500000US515500209041, 40
1500000US515500213011, 33
1500000US515500214041, 33
1500000US515500216021, 35
1500000US515500216024, 35
1500000US518100422024, 23
1500000US518100428014, 38
1500000US518100442002, 9
1500000US518100448071, 23
1500000US518100454052, 39
1500000US517402103001, 32
1500000US517402106002, 32
1500000US517100069012, 43
1500000US517109900000, 34
1500000US517100005001, 24
1500000US517100014001, 34
1500000US517100002024, 24
1500000US518100404044, 43
1500000US518100408013, 43
1500000US518100410022, 38
1500000US518100412001, 43
1500000US518100422011, 23
1500000US518100422012, 23
1500000US518100438004, 23
1500000US517000303002, 42
1500000US517000306003, 42
1500000US518100458081, 38
1500000US518100460101, 43
1500000US518100460054, 38
1500000US518100460142, 39
1500000US517402127021, 33
1500000US517402131011, 35
1500000US517000320021, 44
1500000US517000313001, 42
1500000US518100410032, 38
1500000US517000308002, 42
1500000US518100448061, 9
1500000US518100454142, 39
1500000US518100454221, 39
1500000US518100458062, 38
1500000US518100460052, 38
1500000US518100462122, 38
1500000US518100462144, 38
1500000US518100462243, 37
1500000US517100024003, 34
1500000US517100024002, 34
1500000US517100027001, 34
1500000US517100028003, 34
1500000US517000316012, 48
1500000US517000304002, 42
1500000US518100454173, 9
1500000US517100056013, 24
1500000US518100458071, 38
1500000US518100460123, 39
1500000US518100462113, 37
1500000US518100462225, 37
1500000US518100404031, 43
1500000US517000321282, 48
1500000US510150708004, 20
1500000US510150705002, 11
1500000US510150712001, 11
1500000US516500110002, 27
1500000US516500103122, 42
1500000US516500107032, 27
1500000US516500120002, 42
1500000US516500101032, 27
1500000US516500101041, 27
1500000US511650111001, 22
1500000US511650105002, 22
1500000US511650114003, 20
1500000US510594616014, 63
1500000US511990502041, 36
1500000US517353402003, 36
1500000US517700005003, 17
1500000US517700001002, 14
1500000US511959309002, 3
1500000US517500102002, 5
1500000US510690511022, 91
