11 5301
-79.9650897119 37.2821109715 dark-magenta
-76.104496443 36.8327556113 dark-yellow
-77.1495168973 38.8149688856 dark-cyan
-77.5216242106 39.0092758141 royalblue
-79.8958533007 36.6844077691 dark-magenta
-76.4375182778 37.0132201343 web-green
-77.1917257239 38.7939428474 dark-cyan
-77.142005885 38.8120011908 dark-cyan
-77.4000079754 37.5936606982 web-blue
-77.1114270158 38.8745414602 dark-cyan
-76.3885348321 37.0533727482 web-green
-78.1129691128 37.1624238737 dark-orange
-77.0913653471 38.7615876093 dark-cyan
-76.4092132457 36.8717613352 web-green
-76.4692512872 37.1074111898 web-green
-76.247282879 36.9212090457 web-green
-76.2483429667 36.7946366865 dark-yellow
-78.1619731733 39.1889635475 royalblue
-77.41601062 38.8317322785 goldenrod
-77.1287371773 38.8961977345 dark-cyan
-77.563171395 37.6450503676 dark-orange
-77.1999915887 38.833016251 dark-cyan
-79.0833331015 38.1474363224 red
-77.2239800945 38.8827245512 goldenrod
-77.3694913818 37.5488018442 web-blue
-77.2804167534 38.6150599141 purple
-77.3044027599 38.8717114361 goldenrod
-75.9814560766 36.8326840037 dark-yellow
-77.2500662505 38.8269233215 goldenrod
-76.4133624613 37.0440395322 web-green
-76.5652982817 37.1666491266 web-blue
-77.6434567041 37.6285144723 dark-orange
-76.1256633839 36.8060815047 dark-yellow
-77.4757314119 38.7337517078 royalblue
-76.3736067027 37.0162330253 web-green
-77.6248303754 37.615661053 dark-orange
-77.191397694 38.9488147581 goldenrod
-77.3081637292 37.2887892151 web-blue
-76.5630946195 36.7333651873 web-green
-76.1834431326 36.782410571 dark-yellow
-77.050165204 38.8007789486 dark-cyan
-77.5786034519 37.5165209415 dark-orange
-75.9789245885 36.7679244275 dark-yellow
-77.2334374201 38.8858969955 goldenrod
-80.4162279344 37.2355226503 dark-spring-green
-78.8776994949 38.4193560849 red
-77.0562016065 38.7713210389 dark-cyan
-77.2359607907 38.8918188631 goldenrod
-77.1458886926 38.8014919942 dark-cyan
-77.4421735415 38.4608053765 purple
-77.3247133669 38.9372498072 goldenrod
-76.4183675061 37.0364511271 web-green
-77.1768134916 38.9290086701 goldenrod
-76.1047702481 36.7986296917 dark-yellow
-77.10913889 38.8484612949 dark-cyan
-76.1342555756 36.849628767 dark-yellow
-77.3577165489 38.6400180243 purple
-77.1009566972 38.7187433524 dark-cyan
-76.2742951199 36.8212191925 web-green
-76.3636671879 37.0046995602 web-green
-81.5236813901 36.8396558412 dark-spring-green
-76.6006063129 36.9892800602 web-blue
-77.5720915353 37.6155766176 dark-orange
-77.5141895659 37.6190417785 dark-orange
-77.3286880878 38.9618778633 goldenrod
-77.3688596478 38.9678664331 goldenrod
-77.4075456819 38.8912690761 goldenrod
-77.3202408135 38.8047429096 goldenrod
-77.0286779009 37.844878875 purple
-79.9713373275 36.7402631207 dark-spring-green
-78.3055452498 36.9355396715 dark-magenta
-77.437545569 37.6023727235 dark-orange
-77.1810504843 38.8709305286 dark-cyan
-77.3108806305 38.8450216743 goldenrod
-77.2074644622 38.7968188159 dark-cyan
-77.2001657088 38.8081204202 dark-cyan
-77.3926714962 38.9613193016 goldenrod
-77.2462728145 38.8693660113 goldenrod
-77.1896776229 38.9423920978 goldenrod
-77.1553950267 38.9127654911 dark-cyan
-78.520157332 38.0096644468 red
-77.9680641807 37.0904380239 dark-orange
-77.0626891038 38.7289341059 dark-cyan
-77.3410360712 38.904557172 goldenrod
-77.2039051503 38.8720696902 goldenrod
-77.256721466 38.7715522467 goldenrod
-77.2963021 38.7825952652 goldenrod
-77.2210786072 38.7733235015 goldenrod
-77.4093533289 38.9287842469 goldenrod
-77.3616998286 38.9362047104 goldenrod
-77.3579990455 38.9387587595 goldenrod
-77.0914860807 38.7801259892 dark-cyan
-77.0994628343 38.7428564771 dark-cyan
-77.1714912546 38.8190505573 dark-cyan
-77.1528310907 38.8588388572 dark-cyan
-77.1430895991 38.8687685719 dark-cyan
-77.195679602 38.8576577365 goldenrod
-77.0921872462 37.0154492066 web-blue
-79.5218469594 36.6327776299 dark-magenta
