40 5301
-77.1281755196 38.8239540856 light-pink
-77.1255327734 38.8202941433 light-pink
-77.0785631579 38.8090971618 sea-green
-77.0828615024 38.8291083598 sea-green
-77.1842296931 38.8866544414 brown
-77.0818785816 38.8402437298 sea-green
-77.0621225708 38.8214863785 sea-green
-77.0617965534 38.819267877 sea-green
-77.0688334499 38.8151162311 sea-green
-77.0424510512 38.8119425569 sea-green
-77.1379682795 38.8049967797 dark-cyan
-77.1017662214 38.8091862746 sea-green
-77.1202471649 38.8141780364 dark-cyan
-77.5232590631 37.5072941556 light-goldenrod
-77.4563018034 37.5812137904 aquamarine
-77.4930862272 37.5650827203 aquamarine
-77.4805578896 37.5634635311 aquamarine
-77.4637246932 37.5562455934 aquamarine
-77.4585209045 37.5459063752 aquamarine
-77.4697368965 37.5132864364 light-goldenrod
-77.4645246557 37.5063919104 light-goldenrod
-77.4582815265 37.4966015032 light-goldenrod
-77.4491977356 37.5534205623 aquamarine
-77.4323567338 37.5434577872 aquamarine
-77.4383929818 37.5532321329 aquamarine
-77.2992473774 37.2796058601 midnight-blue
-77.4180690989 37.5346229831 skyblue
-77.4559915338 37.5127085319 light-goldenrod
-77.4402585573 37.4935792963 light-goldenrod
-77.4827849483 37.4661210129 light-goldenrod
-79.4497492188 37.7867803152 red
-77.4733328909 38.7848447316 goldenrod
-78.4719998286 38.0357095227 steelblue
-78.4767328882 38.0213997553 steelblue
-77.4571189923 38.280918729 royalblue
-77.4722663406 38.3060587083 royalblue
-77.469813594 38.3132494069 royalblue
-78.5036038933 38.0194172857 gold
-78.4968345328 38.0493488488 gold
-77.5771406586 37.5374796508 dark-orange
-77.5184053729 37.515157303 light-goldenrod
-77.417050524 37.2091251393 midnight-blue
-77.403940278 37.219598677 midnight-blue
-77.3639341582 37.1885745429 midnight-blue
-77.4178060639 37.5665736298 skyblue
-77.3175769575 38.8575873231 light-magenta
-77.3066158426 38.8405604486 light-magenta
-77.4690840075 37.2048268463 midnight-blue
-80.7592350903 37.0231290823 orchid
-80.7655813014 37.0502512399 orchid
-81.9664468561 36.7278420939 cyan
-77.6013830311 37.521979289 dark-orange
-77.5557787622 37.5001136064 dark-orange
-77.4661159464 37.3637732624 light-goldenrod
-77.4801274159 37.4353619014 light-goldenrod
-82.4747333146 36.9330055121 cyan
-77.4625503008 37.4200336077 light-goldenrod
-77.4603950844 37.4434315234 light-goldenrod
-77.6412887711 37.4658392588 dark-orange
-77.4206415537 37.2386290543 midnight-blue
-77.4284446692 37.2329775726 midnight-blue
-78.8931793393 36.7194785831 spring-green
-82.455707162 37.1647918426 cyan
